Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Marcus Georges-Hunt,394,1312611,George Washington University,DEN,SG,23,42,6.9,0.1,0.4,0.479,0.619,0.4,0.2
Malcolm Brogdon,395,1312611,Seton Hall University,DAL,PG,25,48,14.3,1.3,3.4,0.547,0.882,3.3,3.2
Rodney McGruder,396,1312611,DePaul University,POR,SG,26,18,12,0.8,1.9,0.596,0.5,1.8,0.9
Andrew Harrison,397,1312611,Michigan State University,PHI,PG,23,56,12.7,0.8,2.5,0.477,0.78,2.3,3.2
Ivica Zubac,398,1312611,Niagara University,CHO,C,20,43,15.3,0,0,0.5,0.765,2.9,0.6
Patrick McCaw,399,1312611,University of Minnesota,LAL,SG,22,57,7.4,0.3,1.4,0.451,0.765,1.4,1.4
Dorian Finney-Smith,400,1312611,La Salle University,UTA,PF,24,21,7.6,1,3.2,0.463,0.733,3.6,1.2
Yogi Ferrell,401,1312611,University of Dayton,SAS,SG,24,82,11.4,1.6,4.4,0.518,0.796,3,2.5
Treveon Graham,402,1312611,Wake Forest University,LAL,SG,24,63,9,0.6,1.5,0.525,0.695,1.9,0.9
David Nwaba,403,1312611,Villanova University,PHI,SG,25,70,12.2,0.3,0.7,0.499,0.655,4.7,1.5
Paul Zipser,404,1312611,University of Dayton,MIN,SF,23,54,5.2,0.7,2,0.425,0.76,2.4,0.9
Isaiah Whitehead,405,1312611,University of Oregon,MEM,PG,22,16,11.5,0.4,1.1,0.506,0.684,1.6,1.3
Okaro White,406,1312611,University of Minnesota,TOR,PF,25,6,8.9,0.7,1.8,0.563,0.667,1.8,0.3
Nicolas Brussino,407,1312611,University of Louisville,SAS,SF,24,4,-4.6,0,0.5,0,0,0.8,0
Isaiah Taylor,408,1312611,University of Missouri,SAC,PG,23,67,10.9,0.3,1.2,0.444,0.702,1.4,3.1
Kay Felder,409,1312611,Seton Hall University,MIA,PG,22,16,3.6,0.3,1.2,0.329,0.917,1.1,1.3
Fred VanVleet,410,1312611,Duquesne University,MEM,PG,23,76,15.9,1.4,3.4,0.525,0.832,2.4,3.2
Derrick Jones,411,1312611,Iona College,HOU,SF,20,20,10.1,0.2,0.9,0.425,0.667,1.9,0.5
